"Alert Email Sender","Expéditeur du mail d'alerte"
"Alert subscription has been saved.","L'inscription à l'alerte a été sauvegardée."
"Allow Alert When Product Comes Back in Stock","Autoriser l'alerte de disponibilité de produit."
"Allow Alert When Product Price Changes","Autoriser l'alerte de changement de prix."
"Click here not to receive alerts for this product","Click here not to receive alerts for this product"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"Frequency","Fréquence"
"Not enough parameters.","Not enough parameters."
"Price:","Prix :"
"Price Alert Email Template","Gabarit du mail d'alerte de changement de prix"
"Product Alerts","Alertes du produit"
"Product alerts Cron error","Erreur de cron pour les alertes produits"
"Product Alerts Run Settings","Paramétrage d'exécution des alertes de produit"
"Product price alert","Product price alert"
"Product stock alert","Product stock alert"
"Regular Price:","Regular Price:"
"Sign up for price alert","Sign up for price alert"
"Sign up to get notified when this product is back in stock","Sign up to get notified when this product is back in stock"
"Special price:","Special price:"
"Start Time","Heure de début"
"Stock Alert Email Template","Gabarit du mail d'alerte de disponibilité"
"The alert subscription has been deleted.","You will no longer receive price alerts for this product."
"The alert subscription has been saved.","The alert subscription has been saved."
"The product is not found.","The product was not found."
"The product was not found.","Le produit n'a pas été trouvé."
"Unable to update the alert subscription.","Impossible de mettre à jour l'inscription à l'alerte."
"Unsubscribe from all price alerts","Se désabonner de toutes les alertes de prix"
"Unsubscribe from all stock alerts","Se désabonner de toutes les alertes de disponibilité"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:"
"You will no longer receive price alerts for this product.","Vous ne recevrez plus d'alertes de changement de prix pour ce produit."
"You will no longer receive stock alerts.","Vous ne recevrez plus d'alertes de disponibilité."
"You will no longer receive stock alerts for this product.","Vous ne recevrez plus d'alertes de disponibilité pour ce produit."
